Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Master's,Computer Science,"SQL, Python",CFA Level 1,72,ML Engineer,"Master's Computer Science SQL, Python CFA Level 1"
Intermediate,Engineering,"Python, Marketing, MS Office",,72,Software Engineer,
PhD,Commerce,Counseling,Digital Marketing,79,Research Scientist,PhD Commerce Counseling Digital Marketing
Intermediate,Science,"Machine Learning, Python, Marketing",Google Data Analytics,67,Software Engineer,"Intermediate Science Machine Learning, Python, Marketing Google Data Analytics"
Intermediate,Computer Science,"Counseling, SQL, MS Office",Google Data Analytics,85,Software Engineer,"Intermediate Computer Science Counseling, SQL, MS Office Google Data Analytics"
Master's,Commerce,Counseling,AWS Certified,71,Research Scientist,Master's Commerce Counseling AWS Certified
PhD,Arts,Machine Learning,Digital Marketing,74,ML Engineer,PhD Arts Machine Learning Digital Marketing
Matric,Business,"Python, Financial Analysis, Machine Learning",Mental Health Basics,82,ML Engineer,"Matric Business Python, Financial Analysis, Machine Learning Mental Health Basics"
Matric,Psychology,"Marketing, Communication",Creative Writing,87,Software Engineer,"Matric Psychology Marketing, Communication Creative Writing"
Master's,Computer Science,"SQL, Financial Analysis",Creative Writing,87,Business Analyst,"Master's Computer Science SQL, Financial Analysis Creative Writing"
Bachelor's,Psychology,Communication,Mental Health Basics,79,ML Engineer,Bachelor's Psychology Communication Mental Health Basics
Master's,Finance,"MS Office, Counseling, Python",Digital Marketing,81,Research Scientist,"Master's Finance MS Office, Counseling, Python Digital Marketing"
Intermediate,Commerce,"Machine Learning, Python, Data Analysis",,63,Research Scientist,
Master's,Arts,"Accounting, MS Office",Mental Health Basics,85,Business Analyst,"Master's Arts Accounting, MS Office Mental Health Basics"
Master's,Computer Science,Machine Learning,Google Data Analytics,62,Software Engineer,Master's Computer Science Machine Learning Google Data Analytics
PhD,Psychology,Marketing,Creative Writing,72,Software Engineer,PhD Psychology Marketing Creative Writing
Bachelor's,Science,Accounting,AWS Certified,86,Business Analyst,Bachelor's Science Accounting AWS Certified
Bachelor's,Arts,"MS Office, Python",Digital Marketing,62,Software Engineer,"Bachelor's Arts MS Office, Python Digital Marketing"
PhD,Psychology,"Communication, Counseling, Accounting",,83,ML Engineer,
Master's,Finance,Data Analysis,CFA Level 1,73,Business Analyst,Master's Finance Data Analysis CFA Level 1
PhD,Science,"Communication, Marketing, Python",Tally ERP,67,Software Engineer,"PhD Science Communication, Marketing, Python Tally ERP"
Master's,Computer Science,Machine Learning,Creative Writing,82,ML Engineer,Master's Computer Science Machine Learning Creative Writing
Bachelor's,Engineering,"Financial Analysis, Machine Learning",AWS Certified,91,Business Analyst,"Bachelor's Engineering Financial Analysis, Machine Learning AWS Certified"
Bachelor's,Business,"MS Office, Communication",,81,Software Engineer,
PhD,Finance,"Communication, Accounting, MS Office",Digital Marketing,91,Business Analyst,"PhD Finance Communication, Accounting, MS Office Digital Marketing"
Matric,Science,SQL,Creative Writing,85,Business Analyst,Matric Science SQL Creative Writing
PhD,Business,Communication,Google Data Analytics,83,Software Engineer,PhD Business Communication Google Data Analytics
Matric,Engineering,Accounting,CFA Level 1,81,Software Engineer,Matric Engineering Accounting CFA Level 1
Intermediate,Commerce,Financial Analysis,Digital Marketing,63,Business Analyst,Intermediate Commerce Financial Analysis Digital Marketing
Matric,Computer Science,"MS Office, Accounting, Data Analysis",CFA Level 1,93,Business Analyst,"Matric Computer Science MS Office, Accounting, Data Analysis CFA Level 1"
PhD,Finance,"Python, Communication, Financial Analysis",Creative Writing,64,Research Scientist,"PhD Finance Python, Communication, Financial Analysis Creative Writing"
Master's,Arts,"Financial Analysis, Machine Learning, Data Analysis",,76,Software Engineer,
Master's,Computer Science,Python,AWS Certified,83,Research Scientist,Master's Computer Science Python AWS Certified
PhD,Computer Science,Machine Learning,Google Data Analytics,79,Business Analyst,PhD Computer Science Machine Learning Google Data Analytics
Matric,Commerce,"Counseling, Communication, Python",Digital Marketing,80,Business Analyst,"Matric Commerce Counseling, Communication, Python Digital Marketing"
PhD,Commerce,"Financial Analysis, Machine Learning, Marketing",Creative Writing,74,ML Engineer,"PhD Commerce Financial Analysis, Machine Learning, Marketing Creative Writing"
Bachelor's,Computer Science,Accounting,Creative Writing,80,Research Scientist,Bachelor's Computer Science Accounting Creative Writing
Bachelor's,Computer Science,Financial Analysis,Creative Writing,61,Business Analyst,Bachelor's Computer Science Financial Analysis Creative Writing
PhD,Psychology,Data Analysis,AWS Certified,79,ML Engineer,PhD Psychology Data Analysis AWS Certified
Intermediate,Arts,"Communication, Financial Analysis, Marketing",Tally ERP,80,Business Analyst,"Intermediate Arts Communication, Financial Analysis, Marketing Tally ERP"
Intermediate,Computer Science,"SQL, Data Analysis, Communication",Mental Health Basics,74,Research Scientist,"Intermediate Computer Science SQL, Data Analysis, Communication Mental Health Basics"
Intermediate,Business,Marketing,CFA Level 1,88,Business Analyst,Intermediate Business Marketing CFA Level 1
Intermediate,Engineering,MS Office,Mental Health Basics,87,ML Engineer,Intermediate Engineering MS Office Mental Health Basics
Bachelor's,Business,MS Office,Digital Marketing,86,Software Engineer,Bachelor's Business MS Office Digital Marketing
Intermediate,Science,"MS Office, Data Analysis",Google Data Analytics,82,Business Analyst,"Intermediate Science MS Office, Data Analysis Google Data Analytics"
Intermediate,Arts,"MS Office, SQL",CFA Level 1,77,Software Engineer,"Intermediate Arts MS Office, SQL CFA Level 1"
Master's,Business,"MS Office, Marketing, Data Analysis",Google Data Analytics,78,ML Engineer,"Master's Business MS Office, Marketing, Data Analysis Google Data Analytics"
Bachelor's,Computer Science,Financial Analysis,Tally ERP,67,Research Scientist,Bachelor's Computer Science Financial Analysis Tally ERP
Bachelor's,Finance,"Marketing, Communication, Machine Learning",,76,Research Scientist,
Intermediate,Computer Science,"SQL, Communication, Marketing",Google Data Analytics,90,Research Scientist,"Intermediate Computer Science SQL, Communication, Marketing Google Data Analytics"
Bachelor's,Computer Science,"Counseling, Financial Analysis, Data Analysis",Google Data Analytics,64,ML Engineer,"Bachelor's Computer Science Counseling, Financial Analysis, Data Analysis Google Data Analytics"
Master's,Engineering,Machine Learning,Tally ERP,89,Research Scientist,Master's Engineering Machine Learning Tally ERP
Matric,Science,Financial Analysis,CFA Level 1,75,ML Engineer,Matric Science Financial Analysis CFA Level 1
PhD,Finance,"Python, Machine Learning, Financial Analysis",Tally ERP,91,Software Engineer,"PhD Finance Python, Machine Learning, Financial Analysis Tally ERP"
Master's,Finance,Python,Digital Marketing,71,Business Analyst,Master's Finance Python Digital Marketing
Master's,Finance,"MS Office, Machine Learning",Google Data Analytics,95,ML Engineer,"Master's Finance MS Office, Machine Learning Google Data Analytics"
Matric,Computer Science,"Communication, Marketing",Digital Marketing,88,Software Engineer,"Matric Computer Science Communication, Marketing Digital Marketing"
PhD,Science,"Accounting, Marketing",,88,Business Analyst,
Intermediate,Computer Science,Accounting,CFA Level 1,62,Research Scientist,Intermediate Computer Science Accounting CFA Level 1
Master's,Commerce,"Financial Analysis, Marketing, MS Office",Mental Health Basics,69,Software Engineer,"Master's Commerce Financial Analysis, Marketing, MS Office Mental Health Basics"
PhD,Finance,Financial Analysis,Digital Marketing,63,Software Engineer,PhD Finance Financial Analysis Digital Marketing
Master's,Business,"Counseling, MS Office, Machine Learning",AWS Certified,83,Research Scientist,"Master's Business Counseling, MS Office, Machine Learning AWS Certified"
Master's,Finance,Marketing,Tally ERP,79,Research Scientist,Master's Finance Marketing Tally ERP
Intermediate,Computer Science,MS Office,Google Data Analytics,69,ML Engineer,Intermediate Computer Science MS Office Google Data Analytics
Bachelor's,Business,"Counseling, Python",,72,Business Analyst,
Bachelor's,Business,"Python, SQL, MS Office",AWS Certified,67,Software Engineer,"Bachelor's Business Python, SQL, MS Office AWS Certified"
Master's,Psychology,Financial Analysis,,64,Research Scientist,
Matric,Commerce,"Communication, Accounting",Tally ERP,77,Business Analyst,"Matric Commerce Communication, Accounting Tally ERP"
Matric,Arts,"MS Office, Data Analysis",,87,Business Analyst,
Master's,Commerce,Marketing,CFA Level 1,95,Research Scientist,Master's Commerce Marketing CFA Level 1
Matric,Engineering,"Marketing, Python, Communication",CFA Level 1,64,Software Engineer,"Matric Engineering Marketing, Python, Communication CFA Level 1"
Master's,Commerce,"Communication, Financial Analysis, Marketing",Google Data Analytics,87,Business Analyst,"Master's Commerce Communication, Financial Analysis, Marketing Google Data Analytics"
Intermediate,Engineering,"Machine Learning, Python, Data Analysis",Digital Marketing,64,Research Scientist,"Intermediate Engineering Machine Learning, Python, Data Analysis Digital Marketing"
Bachelor's,Computer Science,"Accounting, Communication, SQL",Mental Health Basics,62,Business Analyst,"Bachelor's Computer Science Accounting, Communication, SQL Mental Health Basics"
Master's,Computer Science,Accounting,CFA Level 1,82,Software Engineer,Master's Computer Science Accounting CFA Level 1
Intermediate,Commerce,"Machine Learning, Accounting, Financial Analysis",Digital Marketing,86,Research Scientist,"Intermediate Commerce Machine Learning, Accounting, Financial Analysis Digital Marketing"
PhD,Commerce,"SQL, Accounting",AWS Certified,69,Software Engineer,"PhD Commerce SQL, Accounting AWS Certified"
Matric,Science,"Python, Machine Learning, Counseling",Tally ERP,79,Business Analyst,"Matric Science Python, Machine Learning, Counseling Tally ERP"
Intermediate,Commerce,"SQL, Communication",Tally ERP,63,Research Scientist,"Intermediate Commerce SQL, Communication Tally ERP"
PhD,Engineering,Counseling,,82,Research Scientist,
Bachelor's,Psychology,Machine Learning,Mental Health Basics,83,Research Scientist,Bachelor's Psychology Machine Learning Mental Health Basics
Bachelor's,Psychology,"MS Office, Accounting, Data Analysis",Mental Health Basics,71,ML Engineer,"Bachelor's Psychology MS Office, Accounting, Data Analysis Mental Health Basics"
Bachelor's,Engineering,"Counseling, Data Analysis",Google Data Analytics,79,ML Engineer,"Bachelor's Engineering Counseling, Data Analysis Google Data Analytics"
Bachelor's,Finance,"Communication, SQL",Creative Writing,74,ML Engineer,"Bachelor's Finance Communication, SQL Creative Writing"
Master's,Engineering,"Communication, SQL, Financial Analysis",,73,ML Engineer,
PhD,Engineering,"Marketing, Financial Analysis, Python",CFA Level 1,63,Software Engineer,"PhD Engineering Marketing, Financial Analysis, Python CFA Level 1"
Matric,Commerce,"Marketing, Financial Analysis",,83,Business Analyst,
Matric,Commerce,"SQL, Data Analysis, Financial Analysis",,87,Research Scientist,
Master's,Arts,SQL,Mental Health Basics,80,ML Engineer,Master's Arts SQL Mental Health Basics
Bachelor's,Science,"SQL, Marketing",AWS Certified,60,Software Engineer,"Bachelor's Science SQL, Marketing AWS Certified"
Master's,Psychology,Communication,Digital Marketing,90,Business Analyst,Master's Psychology Communication Digital Marketing
PhD,Computer Science,"Communication, Marketing",Mental Health Basics,90,Research Scientist,"PhD Computer Science Communication, Marketing Mental Health Basics"
Matric,Arts,SQL,,75,Research Scientist,
Master's,Finance,Accounting,Google Data Analytics,84,Research Scientist,Master's Finance Accounting Google Data Analytics
Master's,Finance,"Accounting, Counseling",CFA Level 1,67,Software Engineer,"Master's Finance Accounting, Counseling CFA Level 1"
Bachelor's,Finance,"Accounting, Machine Learning, Counseling",,64,Software Engineer,
PhD,Science,"MS Office, Counseling, SQL",CFA Level 1,71,ML Engineer,"PhD Science MS Office, Counseling, SQL CFA Level 1"
PhD,Commerce,"MS Office, Financial Analysis",CFA Level 1,81,Business Analyst,"PhD Commerce MS Office, Financial Analysis CFA Level 1"
Matric,Psychology,Machine Learning,Creative Writing,86,Business Analyst,Matric Psychology Machine Learning Creative Writing
PhD,Commerce,SQL,,86,Software Engineer,
Bachelor's,Engineering,"Machine Learning, Financial Analysis, Accounting",CFA Level 1,60,Research Scientist,"Bachelor's Engineering Machine Learning, Financial Analysis, Accounting CFA Level 1"
Master's,Finance,"Python, Data Analysis, Financial Analysis",CFA Level 1,79,Research Scientist,"Master's Finance Python, Data Analysis, Financial Analysis CFA Level 1"
PhD,Arts,"Counseling, MS Office, Marketing",CFA Level 1,71,Software Engineer,"PhD Arts Counseling, MS Office, Marketing CFA Level 1"
Matric,Engineering,"Marketing, Communication, Accounting",Creative Writing,73,Business Analyst,"Matric Engineering Marketing, Communication, Accounting Creative Writing"
PhD,Psychology,SQL,Google Data Analytics,61,ML Engineer,PhD Psychology SQL Google Data Analytics
Intermediate,Business,"Accounting, Communication, SQL",AWS Certified,87,ML Engineer,"Intermediate Business Accounting, Communication, SQL AWS Certified"
Matric,Psychology,Accounting,Google Data Analytics,63,Software Engineer,Matric Psychology Accounting Google Data Analytics
PhD,Arts,SQL,Digital Marketing,71,Software Engineer,PhD Arts SQL Digital Marketing
PhD,Science,"MS Office, Marketing, Python",Mental Health Basics,79,Research Scientist,"PhD Science MS Office, Marketing, Python Mental Health Basics"
Matric,Engineering,"Counseling, Python",Google Data Analytics,69,Research Scientist,"Matric Engineering Counseling, Python Google Data Analytics"
Bachelor's,Computer Science,"Financial Analysis, Machine Learning",Tally ERP,65,Business Analyst,"Bachelor's Computer Science Financial Analysis, Machine Learning Tally ERP"
